GeneVirulence	ID_Protein	Locus_tag	Type	Organism	Disease
A0ST45_CERNC	XP_011386146.1	UMAG_00210	Virulence	CERNC	#N/A
Q5AKU6_CANAL	XP_011386167.1	UMAG_00239	Virulence	CANAL	#N/A
C4YII6_CANAW	XP_011386170.1	UMAG_00242	Virulence	CANAW	#N/A
Q5AJC0_CANAL	XP_011386231.1	UMAG_00330	Virulence	CANAL	#N/A
MEP1_COCP7	XP_011386288.1	UMAG_00411	Virulence	COCP7	#N/A
CUTI_ALTBR	XP_011386312.1	UMAG_00445	Virulence	ALTBR	#N/A
Q5AB06_CANAL	XP_011386318.1	UMAG_00453	Virulence	CANAL	#N/A
A4R553_MAGO7	XP_011386346.1	UMAG_00494	Virulence	MAGO7	#N/A
LAP1_TRIVH	XP_011386485.1	UMAG_00688	Virulence	TRIVH	#N/A
Q5A7S7_CANAL	XP_011387013.1	UMAG_01042	Virulence	CANAL	#N/A
Q5APD4_CANAL	XP_011387033.1	UMAG_01070	Virulence	CANAL	#N/A
C0SB59_PARBP	XP_011387085.1	UMAG_01134	Virulence	PARBP	#N/A
Q59UQ8_CANAL	XP_011387152.1	UMAG_01215	Virulence	CANAL	#N/A
Q2V086_GLOLA	XP_011387156.1	UMAG_01220	Virulence	GLOLA	#N/A
NTE1_CANAL	XP_011387164.1	UMAG_01230	Virulence	CANAL	#N/A
Q4PF15_USTMA	XP_011387212.1	UMAG_01298	Virulence	USTMA	#N/A
Q4PF14_USTMA	XP_011387213.1	UMAG_01299	Virulence	USTMA	#N/A
Q4PF13_USTMA	XP_011387214.1	UMAG_01300	Virulence	USTMA	#N/A
Q4PF12_USTMA	XP_011387215.1	UMAG_01301	Virulence	USTMA	#N/A
Q4PF11_USTMA	XP_011387216.1	UMAG_01302	Virulence	USTMA	#N/A
Q5APH9_CANAL	XP_011387276.1	UMAG_01391	Virulence	CANAL	#N/A
A4UC81_MAGO7	XP_011387304.1	UMAG_01435	Virulence	MAGO7	#N/A
A4R566_MAGO7	XP_011387542.1	UMAG_01501	Virulence	MAGO7	#N/A
Q5AEW4_CANAL	XP_011387550.1	UMAG_01512	Virulence	CANAL	#N/A
Q7Z9J3_9PEZI	XP_011387573.1	UMAG_01544	Virulence	9PEZI	#N/A
Q5A661_CANAL	XP_011387627.1	UMAG_01640	Virulence	CANAL	#N/A
A4RDS9_MAGO7	XP_011387646.1	UMAG_01662	Virulence	MAGO7	#N/A
Q4PDC7_USTMA	XP_011387820.1	UMAG_01886	Virulence	USTMA	#N/A
Q4PD87_USTMA	XP_011387847.1	UMAG_01926	Virulence	USTMA	#N/A
Q59MD2_CANAL	XP_011387878.1	UMAG_01961	Virulence	CANAL	#N/A
PALB_CANAL	XP_011388451.1	UMAG_02075	Virulence	CANAL	#N/A
A0ST43_CERNC	XP_011388510.1	UMAG_02157	Virulence	CERNC	#N/A
Q4PCH2_USTMA	XP_011388537.1	UMAG_02191	Virulence	USTMA	#N/A
Q4PCH1_USTMA	XP_011388538.1	UMAG_02192	Virulence	USTMA	#N/A
Q4PCH0_USTMA	XP_011388539.1	UMAG_02193	Virulence	USTMA	#N/A
Q4PCG9_USTMA	XP_011388540.1	UMAG_02194	Virulence	USTMA	#N/A
C1G1Q2_PARBD	XP_011388599.1	UMAG_02266	Virulence	PARBD	#N/A
Q59KS4_CANAL	XP_011388613.1	UMAG_02285	Virulence	CANAL	#N/A
O42722_CRYNE	XP_011388627.1	UMAG_02301	Virulence	CRYNE	#N/A
Q4JEX9_TRIRU	XP_011388694.1	UMAG_02398	Virulence	TRIRU	#N/A
Q0PND8_MAGGR	XP_011388712.1	UMAG_02421	Virulence	MAGGR	#N/A
Q59YK6_CANAL	XP_011388713.1	UMAG_02422	Virulence	CANAL	#N/A
Q875H9_CANAL	XP_011388713.1	UMAG_02422	Virulence	CANAL	#N/A
Q4PBP0_USTMA	XP_011388754.1	UMAG_02473	Virulence	USTMA	#N/A
Q4PBN9_USTMA	XP_011388755.1	UMAG_02474	Virulence	USTMA	#N/A
Q4PBN8_USTMA	XP_011388756.1	UMAG_02475	Virulence	USTMA	#N/A
A4R2T9_MAGO7	XP_011388774.1	UMAG_02497	Virulence	MAGO7	#N/A
Q5AEK8_CANAL	XP_011388775.1	UMAG_02498	Virulence	CANAL	#N/A
Q4PBI0_USTMA	XP_011388946.1	UMAG_02533	Virulence	USTMA	#N/A
Q4PBH8_USTMA	XP_011388947.1	UMAG_02535	Virulence	USTMA	#N/A
Q4PBH6_USTMA	XP_011388948.1	UMAG_02537	Virulence	USTMA	#N/A
Q4PBH5_USTMA	XP_011388949.1	UMAG_02538	Virulence	USTMA	#N/A
Q4PBH3_USTMA	XP_011388950.1	UMAG_02540	Virulence	USTMA	#N/A
Q59YF3_CANAL	XP_011388996.1	UMAG_02595	Virulence	CANAL	#N/A
CTSD_ARTBC	XP_011388998.1	UMAG_02597	Virulence	ARTBC	#N/A
CTSD_TRIVH	XP_011388998.1	UMAG_02597	Virulence	TRIVH	#N/A
Q5EGQ1_CRYNE	XP_011389049.1	UMAG_02664	Virulence	CRYNE	#N/A
Q9P927_CANAL	XP_011389070.1	UMAG_02696	Virulence	CANAL	#N/A
O13337_MAGGR	XP_011389085.1	UMAG_02717	Virulence	MAGGR	#N/A
Q7LJU0_CRYNE	XP_011389274.1	UMAG_02829	Virulence	CRYNE	#N/A
Q5ANJ4_CANAL	XP_011389277.1	UMAG_02835	Virulence	CANAL	#N/A
P78585_BOTFU	XP_011389374.1	UMAG_02982	Virulence	BOTFU	#N/A
A4QPV0_MAGO7	XP_011389401.1	UMAG_03023	Virulence	MAGO7	#N/A
Q59W09_CANAL	XP_011389408.1	UMAG_03033	Virulence	CANAL	#N/A
Q5XTQ5_BOTFU	XP_011389409.1	UMAG_03034	Virulence	BOTFU	#N/A
Q9P4U9_ALTAL	XP_011389618.1	UMAG_03158	Virulence	ALTAL	#N/A
Q5EGQ2_CRYNE	XP_011389633.1	UMAG_03180	Virulence	CRYNE	#N/A
Q4P9L2_USTMA	XP_011389640.1	UMAG_03201	Virulence	USTMA	#N/A
Q4P9L1_USTMA	XP_011389641.1	UMAG_03202	Virulence	USTMA	#N/A
Q5UB48_CRYNV	XP_011389736.1	UMAG_03346,	Virulence	CRYNV	#N/A
C5GA89_AJEDR	XP_011389892.1	UMAG_03421	Virulence	AJEDR	#N/A
A6QVN0_AJECN	XP_011389895.1	UMAG_03425	Virulence	AJECN	#N/A
A4QTS1_MAGO7	XP_011389896.1	UMAG_03431	Virulence	MAGO7	#N/A
A4R7D1_MAGO7	XP_011389936.1	UMAG_03481	Virulence	MAGO7	#N/A
Q6UEI2_PNECA	XP_011390004.1	UMAG_03569	Virulence	PNECA	#N/A
A4RKI4_MAGO7	XP_011390021.1	UMAG_03596	Virulence	MAGO7	#N/A
Q4P8E9_USTMA	XP_011390037.1	UMAG_03614	Virulence	USTMA	#N/A
Q4P8E8_USTMA	XP_011390038.1	UMAG_03615	Virulence	USTMA	#N/A
Q4P8E7_USTMA	XP_011390039.1	UMAG_03616	Virulence	USTMA	#N/A
Q59NL7_CANAL	XP_011390162.1	UMAG_03687	Virulence	CANAL	#N/A
Q5APU2_CANAL	XP_011390174.1	UMAG_03701	Virulence	CANAL	#N/A
Q5ALS7_CANAL	XP_011390181.1	UMAG_03714	Virulence	CANAL	#N/A
Q4P819_USTMA	XP_011390197.1	UMAG_03744	Virulence	USTMA	#N/A
Q4P818_USTMA	XP_011390198.1	UMAG_03745	Virulence	USTMA	#N/A
Q4P817_USTMA	XP_011390199.1	UMAG_03746	Virulence	USTMA	#N/A
Q4P816_USTMA	XP_011390200.1	UMAG_03747	Virulence	USTMA	#N/A
Q4P815_USTMA	XP_011390201.1	UMAG_03748	Virulence	USTMA	#N/A
Q4P814_USTMA	XP_011390202.1	UMAG_03749	Virulence	USTMA	#N/A
Q4P813_USTMA	XP_011390203.1	UMAG_03750	Virulence	USTMA	#N/A
Q4P812_USTMA	XP_011390204.1	UMAG_03751	Virulence	USTMA	#N/A
Q4P811_USTMA	XP_011390205.1	UMAG_03752	Virulence	USTMA	#N/A
Q4P810_USTMA	XP_011390206.1	UMAG_03753	Virulence	USTMA	#N/A
Q2TJF8_GIBMO	XP_011390232.1	UMAG_03784	Virulence	GIBMO	#N/A
Q59QA6_CANAL	XP_011390258.1	UMAG_03820	Virulence	CANAL	#N/A
A4R3H7_MAGO7	XP_011390364.1	UMAG_03871	Virulence	MAGO7	#N/A
Q59M50_CANAL	XP_011390398.1	UMAG_03925	Virulence	CANAL	#N/A
Q5AG71_CANAL	XP_011390400.1	UMAG_03928	Virulence	CANAL	#N/A
A4RG81_MAGO7	XP_011390687.1	UMAG_04203	Virulence	MAGO7	#N/A
A4QVF8_MAGO7	XP_011391151.1	UMAG_04480	Virulence	MAGO7	#N/A
Q58FH5_CRYNV	XP_011390830.1	UMAG_04496	Virulence	CRYNV	#N/A
Q4U320_USTMD	XP_011391655.1	UMAG_04791	Virulence	USTMD	#N/A
C5GNK0_AJEDR	XP_011391232.1	UMAG_04909	Virulence	AJEDR	#N/A
CFT1_CRYNB	XP_011391257.1	UMAG_04944	Virulence	CRYNB	#N/A
Q59NG2_CANAL	XP_011391292.1	UMAG_04989	Virulence	CANAL	#N/A
SNF7_CANAL	XP_011391345.1	UMAG_05062	Virulence	CANAL	#N/A
ECM14_ARTOC	XP_011388178.1	UMAG_05109	Virulence	ARTOC	#N/A
B9WMV3_CANDC	XP_011388184.1	UMAG_05115	Virulence	CANDC	#N/A
O60034_BOTFU	XP_011391976.1	UMAG_05253	Virulence	BOTFU	#N/A
DPP4_ASPFC	XP_011391995.1	UMAG_05273	Virulence	ASPFC	#N/A
Q4P3L9_USTMA	XP_011392010.1	UMAG_05294	Virulence	USTMA	#N/A
Q4P3L8_USTMA	XP_011392011.1	UMAG_05295	Virulence	USTMA	#N/A
Q4P3L4_USTMA	XP_011392012.1	UMAG_05299	Virulence	USTMA	#N/A
Q4P3L3_USTMA	XP_011392013.1	UMAG_05300	Virulence	USTMA	#N/A
Q4P3L2_USTMA	XP_011392014.1	UMAG_05301	Virulence	USTMA	#N/A
Q4P3L1_USTMA	XP_011392015.1	UMAG_05302	Virulence	USTMA	#N/A
Q4P3L0_USTMA	XP_011392016.1	UMAG_05303	Virulence	USTMA	#N/A
Q4P3K8_USTMA	XP_011392017.1	UMAG_05305	Virulence	USTMA	#N/A
Q4P3K7_USTMA	XP_011392018.1	UMAG_05306	Virulence	USTMA	#N/A
Q4P3K5_USTMA	XP_011392019.1	UMAG_05308	Virulence	USTMA	#N/A
Q4P3K4_USTMA	XP_011392020.1	UMAG_05309	Virulence	USTMA	#N/A
Q4P3K3_USTMA	XP_011392021.1	UMAG_05310	Virulence	USTMA	#N/A
Q4P3K2_USTMA	XP_011392022.1	UMAG_05311	Virulence	USTMA	#N/A
Q4P3K1_USTMA	XP_011392023.1	UMAG_05312	Virulence	USTMA	#N/A
Q4P3J9_USTMA	XP_011392025.1	UMAG_05314	Virulence	USTMA	#N/A
Q4P3J6_USTMA	XP_011392026.1	UMAG_05317	Virulence	USTMA	#N/A
Q4P3J5_USTMA	XP_011392027.1	UMAG_05318	Virulence	USTMA	#N/A
Q4P3J4_USTMA	XP_011392028.1	UMAG_05319	Virulence	USTMA	#N/A
A3LQ81_PICST	XP_011391823.1	UMAG_05496	Virulence	PICST	#N/A
Q5AGE7_CANAL	XP_011391910.1	UMAG_05612	Virulence	CANAL	#N/A
A4R0Y1_MAGO7	XP_011391450.1	UMAG_05692	Virulence	MAGO7	#N/A
C5GEJ4_AJEDR	XP_011391488.1	UMAG_05747	Virulence	AJEDR	#N/A
MEP7_ARTGP	XP_011391507.1	UMAG_05774	Virulence	ARTGP	#N/A
Q5RLJ7_CRYNV	XP_011392221.1	UMAG_05861	Virulence	CRYNV	#N/A
Q59WE5_CANAL	XP_011392376.1	UMAG_05995	Virulence	CANAL	#N/A
C1G3Y7_PARBD	XP_011392440.1	UMAG_06080	Virulence	PARBD	#N/A
MEP_NEOFI	XP_011392453.1	UMAG_06098	Virulence	NEOFI	#N/A
SED3_ARTOC	XP_011392464.1	UMAG_06118	Virulence	ARTOC	#N/A
Q4P0Z2_USTMA	XP_011392577.1	UMAG_06221	Virulence	USTMA	#N/A
Q4P0Z1_USTMA	XP_011392578.1	UMAG_06222	Virulence	USTMA	#N/A
Q4P0Z0_USTMA	XP_011392579.1	UMAG_06223	Virulence	USTMA	#N/A
O59897_ASPFM	XP_011392701.1	UMAG_06418	Virulence	ASPFM	#N/A
LAP2_ASPFU	XP_011392725.1	UMAG_06456	Virulence	ASPFU	#N/A
ALO_CANAL	XP_011386603.1	UMAG_10013	Virulence	CANAL	#N/A
Q3I4V7_CRYNV	XP_011386642.1	UMAG_10053	Virulence	CRYNV	#N/A
Q59Z94_CANAL	XP_011388784.1	UMAG_10056	Virulence	CANAL	#N/A
A4R575_MAGO7	XP_011386654.1	UMAG_10097	Virulence	MAGO7	#N/A
Q4WYU7_ASPFU	XP_011386659.1	UMAG_10102	Virulence	ASPFU	#N/A
Q9P4A1_CRYNE	XP_011386665.1	UMAG_10108	Virulence	CRYNE	#N/A
CCR4_CANAL	XP_011389768.1	UMAG_10379,	Virulence	CANAL	#N/A
A4QRN5_MAGO7	XP_011389778.1	UMAG_10391	Virulence	MAGO7	#N/A
Q8J1X6_COLLN	XP_011390769.1	UMAG_10417	Virulence	COLLN	#N/A
Q4WUA3_ASPFU	XP_011390058.1	UMAG_10440	Virulence	ASPFU	#N/A
B0CVW9_LACBS	XP_011390308.1	UMAG_10484	Virulence	LACBS	#N/A
A9YDN6_MAGGR	XP_011392159.1	UMAG_10560	Virulence	MAGGR	#N/A
A4QVB5_MAGO7	XP_011387336.1	UMAG_10570,	Virulence	MAGO7	#N/A
Q5AI14_CANAL	XP_011389801.1	UMAG_10650	Virulence	CANAL	#N/A
A4RGG9_MAGO7	XP_011392305.1	UMAG_10898	Virulence	MAGO7	#N/A
Q5AMK1_CANAL	XP_011391553.1	UMAG_10934	Virulence	CANAL	#N/A
CHS7_CANAL	XP_011390096.1	UMAG_11089	Virulence	CANAL	#N/A
Q96VB5_ALTAL	XP_011392334.1	UMAG_11191	Virulence	ALTAL	#N/A
Q5K995_CRYNJ	XP_011392338.1	UMAG_11195	Virulence	CRYNJ	#N/A
PMT1_CANAL	XP_011392619.1	UMAG_11220	Virulence	CANAL	#N/A
Q9Y880_COCCA	XP_011392340.1	UMAG_11293	Virulence	COCCA	#N/A
Q59RW2_CANAL	XP_011388025.1	UMAG_11364	Virulence	CANAL	#N/A
C0SCD5_PARBP	XP_011389559.1	UMAG_11638	Virulence	PARBP	#N/A
C1GLI4_PARBD	XP_011389559.1	UMAG_11638	Virulence	PARBD	#N/A
A4QRX6_MAGO7	XP_011388887.1	UMAG_11907	Virulence	MAGO7	#N/A
CTSD_ASPFU	XP_011388888.1	UMAG_11908	Virulence	ASPFU	#N/A
SEY1_CANAL	XP_011387503.1	UMAG_12136	Virulence	CANAL	#N/A
Q59PP4_CANAL	XP_011388125.1	UMAG_12161	Virulence	CANAL	#N/A
A4RED5_MAGO7	XP_011388143.1	UMAG_15042	Virulence	MAGO7	#N/A
C5GDV2_AJEDR	XP_011386862.1	UMAG_15051	Virulence	AJEDR	#N/A
Q6TFC7_ASPFM	XP_011387513.1	UMAG_15055	Virulence	ASPFM	#N/A
Q59X54_CANAL	XP_011388145.1	UMAG_15072	Virulence	CANAL	#N/A
Q8J0I5_CLAPU	XP_011392764.1	UMAG_15103	Virulence	CLAPU	#N/A
Q5AHJ0_CANAL	XP_011388442.1	UMAG_02064	Virulence	CANAL	#N/A
